,Unnamed: 0,barrio,geonames_id,latitud,longitud,precio_usd,superficie_m2,superficie_cubierta,precio_usd_m2,piso,habitaciones,expensas,properati_url,descripcion,titulo,imagen,frente,luminoso,geom_x,estacion_mas_cercanan_x,dist_estacion_mas_cercana_x,estacion_mas_cercanap_x,distiso500_100,distiso1000_100,isopuntosimp2000_200,punto_mas_cercanan,dist_punto_mas_cercana,punto_mas_cercanap,subtegoo_x,subtegoo_y,puntosgoo
0,200,Recoleta,3429595.0,-34.599427399999996,-58.401585600000004,380000.0,196.0,196.0,1938.7755102040808,,7.0,,http://www.properati.com.ar/15dhm_venta_departamento_recoleta_suite_toilette_luminoso_aire-acondicionado_subte-linea-d_subte-linea-b_subte-linea-h_toribio-achaval_e6q,Los equipos de aire acondicionado no estan incluidos en el precio de venta.Semipiso. Living. Comedor. 4 dormitorio(s) 1 en suite. 2 baño(s) 1 toilette(s). Entre medianeras. Al frente. S/av. principal.  Antiguo.  Luminoso.  En muy buen estado. Orientación Suroeste. Antigüedad 80 años. ,Semipiso. Living. Comedor. 4 dormitorio(s) 1 en suite. 2 baño(s) 1 toilette(s). Entre medianeras. Al frente. S/av. principal.  Antiguo.  Luminoso.  En muy buen estado. Orientación Suroeste. Antigüedad 80 años. ,https://thumbs4.properati.com/3/Iokg3DyiJu3v_eoXEm_QAo6ypO8=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/2047/172050/files/5755616.jpg,1,1,POINT (-58.4015856 -34.5994274),CÓRDOBA,152.68247089355066,POINT (-58.40312406017082 -34.59890209976835),1,1,8,Plaza V. López y Planes,1282.25835263662,POINT (-58.389425 -34.5937279),167.0,167.0,
1,227,Recoleta,3429595.0,-34.588348789899996,-58.3900529339,620000.0,191.0,181.0,3246.0732984293195,,5.0,,http://www.properati.com.ar/15djy_venta_departamento_recoleta_balcon_luminoso_lujoso_subte-linea-h_arquicasa-propiedades,"Espectacular ubicación, al frente orientación Este.En la mejor cuadra y de mayor categoría de la ciudad de Buenos Aires.Tiene muy buena luz porque la altura de la unidad supera los edificios linderos.Living en ""L""Balcon corrido al frenteDormitorio principal al frenteCocina Comedor diarioLavadero independienteDependencia de servicioPalier privadoPlacard de recepciónPlacares de soporte2 baños completosToilette4 domitoriosDoble circulaciónCOCHERA DOBLEBauleraSeguridad 24hsReferencias de la zona:Palacio DuhauAlvear PalacePlaza Intendente Torcuato de AlvearCentro Cultural RecoletaCementerio de RecoletaRecoleta MallColectivos: 10, 17, 37, 59, 60, 61, 62, 67, 75, 92, 93, 101, 102, 108, 110, 124, 130Las medidas son Aproximadas y al solo efecto orientativo, las medidas reales surgirán del Título de Propiedad respectivo.- Importante: La venta del Inmueble referido se encuentra sujeta a la tramitación del Código de Oferta de Transferencia de Inmuebles (C.O.T.I.) por parte del propietario. ",Recoleta Quintana Ancha 5 Amb,https://thumbs4.properati.com/2/AZGb5-RYl59wVSF0ztyivUK8tyw=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/7154/519475/files/4983294.jpg,1,0,POINT (-58.3900529339 -34.5883487899),LAS HERAS,604.3170259886266,POINT (-58.39661845686523 -34.58790875401352),6,7,1,av. Callao y Av. Alvear,139.58382606762717,POINT (-58.388699 -34.5877748),866.0,866.0,
2,255,Recoleta,3429595.0,-34.5955984,-58.412712899999995,120000.0,33.0,33.0,3636.363636363637,,1.0,,http://www.properati.com.ar/15dpd_venta_departamento_recoleta_lavadero_piscina_sum_garage_estrenar_losa-radiante_subte-linea-d_gimenez-inmuebles_drd,"Excelente departamento a estrenar en recoleta , frente al hospital de niños Dr Ricardo Gutierrez , a metros de la Universidad de Palermo, a pocas cuadras de la estación Bulnes de la linea D , e innumerables lineas de colectivos q nos comunican a todas las partes d capital federal .El edificio cuenta con pileta , sum, laundry, losa radiante , agua caliente central , superficie de la propiedad 36.09m2 superficie cubierta 33m2, las unidades tienen la opcion de cochera por dolares U$S 36.000 ",Sanchez de Bustamante 1300-Recoleta ,https://thumbs4.properati.com/0/FkdP8ymn9D3IuB58MdqKL-yDynw=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/2432/558894/files/5498637.jpg,0,0,POINT (-58.4127129 -34.5955984),AGÜERO,686.28014203168,POINT (-58.40656380624967 -34.5920750047101),6,8,10,Plaza Gelly y Obes,1825.4387792424834,POINT (-58.396749 -34.5857757),909.0,909.0,2147.0
3,262,Barrio Norte,3436109.0,-34.5837821,-58.40422750000001,98000.0,37.0,37.0,2648.648648648649,,3.0,,http://www.properati.com.ar/15dqa_venta_departamento_barrio-norte_subte-linea-h_toribio-achaval_e6y,Departamento. Living/Comedor. 2 dormitorio(s). 1 baño(s). Interno.Orientación Norte. Antigüedad 40 años. ,Departamento. Living/Comedor. 2 dormitorio(s). 1 baño(s). Interno.Orientación Norte. Antigüedad 40 años. ,https://thumbs4.properati.com/3/uPErfXjjHg3fyNcwP1fkecuuHb4=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/2047/558955/files/5776560.jpg,0,0,POINT (-58.40422750000001 -34.5837821),BULNES,804.9598472667752,POINT (-58.41069625970212 -34.5886843671808),6,9,4,Plaza Gelly y Obes,720.8906632091806,POINT (-58.396749 -34.5857757),947.0,947.0,923.0
4,412,Recoleta,3429595.0,-34.590333,-58.38647710000001,690000.0,235.0,235.0,2936.170212765957,,5.0,,http://www.properati.com.ar/15ehd_venta_departamento_recoleta_balcon_suite_lavadero_toilette_dependencias_garage_subte-linea-h_martin-lotti-brokers-inmobiliarios_ecp,"2º piso al frente con balcón y grandes ventanales. Gran recepción. Living y comedor. Lugar de estar. 4 dormitorios, dos de ellos, uno en suite, dan a un lindo pulmón de manzana con mucho verde. Otro baño completo y toilette de recepción. Cocina y comedor diario. Lavadero independiente. Dependencia y baño de servicio. Servicios centrales. Expensas $4800. Opción cochera en alquiler.La presente oferta de venta está condicionada a la obtención del COTI por parte del propietario. Las medidas informadas son aproximadas y orientativas. Las medidas exactas surgirán del título de propiedad.Matriculado:Martín LottiCPI 2989",Montevideo 1700 entre Alvear y Quintana,https://thumbs4.properati.com/7/mzfxgkFbcL6syglNhrJcTn45oI0=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/11827/559261/files/5503609.jpg,1,0,POINT (-58.38647710000001 -34.590333),LAS HERAS,968.4771203274272,POINT (-58.39661845686523 -34.58790875401352),6,11,2,av. Callao y Av. Alvear,349.4105802874295,POINT (-58.388699 -34.5877748),1304.0,1304.0,
5,422,Recoleta,3429595.0,-34.5910354,-58.40062320000001,378000.0,140.0,136.0,2700.0,,4.0,,http://www.properati.com.ar/15eig_venta_departamento_recoleta_avenida-pueyrredon_1751_baulera_lavadero_toilette_lujoso_dependencias_garage_impecable_placard_doble-circulacion_subte-linea-d_subte-linea-h_dueno-directo_ekj,"Edificio de categoria en excelentes condiciones. Semipiso de 4 ambientes con dependencia de servicio, hall de recepcion con amplio placard, living y comedor separados uno del otro por una puerta de roble de dos hojas, hall de distribucion, 3 dormitorios de generosas dimensiones con amplios placares, un baño completo, toilette con bidet, ambos baños recien pintados, cocina con comedor diario, lavadero con tender aereo, habitacion de servicio con profusion de placares y baño de servicio. Pisos de roble en impecable estado en todo el departamento, doble circulacion, puerta principal y de servicio blindadas, amplia baulera individual y cochera fija incluida. ",Departamento venta,https://thumbs4.properati.com/2/-FUozvmum1Wy4n00DqkP-f3OBAg=/trim/198x0/smart/filters:strip_icc()/properati-us-ar.s3-us-west-2.amazonaws.com/properties/c0022377-1998-435e-893b-5419b2f9e6e4/D14.jpg,0,0,POINT (-58.40062320000001 -34.5910354),PUEYRREDON,439.1243791585614,POINT (-58.40179798390445 -34.59487279229789),3,3,4,Plaza Gelly y Obes,683.2081746932149,POINT (-58.396749 -34.5857757),473.0,473.0,748.0
6,636,Recoleta,3429595.0,-34.5955984,-58.412712899999995,167000.0,43.0,43.0,3883.720930232558,,2.0,,http://www.properati.com.ar/15ffy_venta_departamento_recoleta_suite_lavadero_piscina_sum_toilette_garage_estrenar_losa-radiante_subte-linea-d_gimenez-inmuebles_drd,"Excelente departament 2 amb a estrenar en recoleta , frente al hospital de niños Dr Ricardo Gutierrez , a metros de la Universidad de Palermo, a pocas cuadras de la estación Bulnes de la linea D , e innumerables lineas de colectivos q nos comunican a todas las partes d capital federal .El edificio cuenta con pileta , sum, laundry, losa radiante , agua caliente central , superficie de la propiedad 50 m2 superficie cubierta 43m2, toilette de recepcion 1 dormitorio en suite hay opción de cochera , no dude en consulta Aviso publicado por Sumaprop | Gestión Inmobiliaria Simple.",sanchez de bustamante 1300-Recoleta,https://thumbs4.properati.com/3/f4i4a01xidFYXT_g8f3Ubn1YLuI=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/2432/559652/files/5508163.jpg,0,0,POINT (-58.4127129 -34.5955984),AGÜERO,686.28014203168,POINT (-58.40656380624967 -34.5920750047101),6,8,10,Plaza Gelly y Obes,1825.4387792424834,POINT (-58.396749 -34.5857757),909.0,909.0,2147.0
7,641,Recoleta,3429595.0,-34.5895459,-58.39736360000001,105000.0,28.0,28.0,3750.0,,1.0,,http://www.properati.com.ar/15fgf_venta_departamento_recoleta_lavadero_piscina_sum_garage_estrenar_losa-radiante_subte-linea-d_subte-linea-h_gimenez-inmuebles_drd,"Excelente departamento a estrenar en recoleta , frente al hospital de niños Dr Ricardo Gutierrez , a metros de la Universidad de Palermo, a pocas cuadras de la estación Bulnes de la linea D , e innumerables lineas de colectivos q nos comunican a todas las partes d capital federal .El edificio cuenta con pileta , sum, laundry, losa radiante , agua caliente central , superficie de la propiedad 28 m2 superficie cubierta 29 m2, hay opcion de cocheras a un valor d U$S 105.000 , no dude en consulta Aviso publicado por Sumaprop | Gestión Inmobiliaria Simple.",Sanchez de Bustamante 1300-Recoleta,https://thumbs4.properati.com/5/VKvguEDGILMpi7j9ZQ6Ubtp_26c=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/2432/559711/files/5508889.jpg,0,0,POINT (-58.39736360000001 -34.5895459),LAS HERAS,194.05355145568723,POINT (-58.39661845686523 -34.58790875401352),1,1,2,Plaza Gelly y Obes,422.02351649768843,POINT (-58.396749 -34.5857757),193.0,193.0,474.0
8,643,Recoleta,3429595.0,-34.5955984,-58.412712899999995,130000.0,37.0,37.0,3513.5135135135133,,1.0,,http://www.properati.com.ar/15fh3_venta_departamento_recoleta_lavadero_piscina_sum_garage_estrenar_losa-radiante_subte-linea-d_gimenez-inmuebles_drd,"Excelente departamento Monoambiente a estrenar en recoleta , frente al hospital de niños Dr Ricardo Gutierrez , a metros de la Universidad de Palermo, a pocas cuadras de la estación Bulnes de la linea D , e innumerables lineas de colectivos q nos comunican a todas las partes d capital federal .El edificio cuenta con pileta , sum, laundry, losa radiante , agua caliente central , superficie de la propiedad 36m2 superficie cubierta 37m2, posibilidad de comprar cochera , no dude en consultar Aviso publicado por Sumaprop | Gestión Inmobiliaria Simple.",Sanchez de bustamante 1300-Recoleta ,https://thumbs4.properati.com/1/oscB3IFHII4CeVgEVZ1_ZnfOVrg=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/2432/559781/files/5509987.jpg,0,0,POINT (-58.4127129 -34.5955984),AGÜERO,686.28014203168,POINT (-58.40656380624967 -34.5920750047101),6,8,10,Plaza Gelly y Obes,1825.4387792424834,POINT (-58.396749 -34.5857757),909.0,909.0,2147.0
9,645,Recoleta,3429595.0,-34.5955984,-58.412712899999995,235000.0,61.0,61.0,3852.4590163934417,,2.0,,http://www.properati.com.ar/15fh9_venta_departamento_recoleta_lavadero_piscina_sum_garage_estrenar_losa-radiante_subte-linea-d_gimenez-inmuebles_drd,"Excelente departamento de 2 amb con posibilidad a 3 amb a estrenar en recoleta , frente al hospital de niños Dr Ricardo Gutierrez , a metros de la Universidad de Palermo, a pocas cuadras de la estación Bulnes de la linea D , e innumerables lineas de colectivos q nos comunican a todas las partes d capital federal .El edificio cuenta con pileta , sum, laundry, losa radiante , agua caliente central , superficie de la propiedad 61 m2 superficie cubierta 71 m2, hay posibilidad de adquirir cocheras cochera incluida , no dude en consultarAviso publicado por Sumaprop | Gestión Inmobiliaria Simple.",Sanchez de Bustamante -Recoleta ,https://thumbs4.properati.com/9/gcLXgXwLWnrN3y9FUYgS7xoHEdk=/trim/198x0/smart/filters:strip_icc()/static.sumaprop.com/2432/559792/files/5510094.jpg,0,0,POINT (-58.4127129 -34.5955984),AGÜERO,686.28014203168,POINT (-58.40656380624967 -34.5920750047101),6,8,10,Plaza Gelly y Obes,1825.4387792424834,POINT (-58.396749 -34.5857757),909.0,909.0,2147.0
